,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,,
881,20.200001,21.209999,20.200001,20.879999,87800,20.662191,10/16/2018,SLP,0.037773407,0.037773259,-0.416971197,E
882,20.879999,21.25,20.75,21.18,47000,20.959063,10/17/2018,SLP,0.014367886,0.014367865,-0.975215767,D
883,21.059999,21.129999,20.280001,20.57,50300,20.355425,10/18/2018,SLP,-0.02880081,-0.028800755,0.0587754,E
884,20.6,21.049999,19.799999,20.120001,43600,19.910118,10/19/2018,SLP,-0.021876576,-0.021876471,0.108053487,E
885,20.209999,20.879999,20.120001,20.549999,33000,20.335634,10/22/2018,SLP,0.021371847,0.021371669,-0.432254286,E
886,20.27,20.75,20.15,20.450001,38000,20.236675,10/23/2018,SLP,-0.004866285,-0.004866083,-0.147663737,E
887,20.459999,20.780001,20.129999,20.18,151900,19.969492,10/24/2018,SLP,-0.01320291,-0.013202982,0.088641455,E
888,20.32,20.700001,20.23,20.629999,36100,20.414799,10/25/2018,SLP,0.022299365,0.022299257,-0.166747762,E
889,20.42,20.68,19.639999,20.23,36100,20.018969,10/26/2018,SLP,-0.019389366,-0.019389191,0.246729824,E
890,20.43,20.59,19.85,20.110001,43500,19.900225,10/29/2018,SLP,-0.005931574,-0.005931735,0.246110616,E
891,20.1,20.34,19.610001,20.299999,39100,20.088238,10/30/2018,SLP,0.009447783,0.009447936,0.685661884,U
892,20.42,20.540001,19.809999,20.209999,48400,20.058466,10/31/2018,SLP,-0.001482061,-0.004433498,0.962178038,U
893,20.309999,20.5,20.110001,20.4,27400,20.24704,11/1/2018,SLP,0.009401217,0.009401336,0.492874596,E
894,20.49,20.5,20.120001,20.42,23600,20.266891,11/2/2018,SLP,0.00098044,0.000980392,0.279562414,E
895,20.43,20.43,20.17,20.299999,41700,20.147789,11/5/2018,SLP,-0.005876678,-0.005876641,0.355971076,E
896,20.299999,21,20.209999,20.940001,74200,20.782993,11/6/2018,SLP,0.031527231,0.031527194,-0.673780308,D
897,20.940001,21.25,20.6,21.200001,37400,21.041044,11/7/2018,SLP,0.01241645,0.012416427,-1.007346097,D
898,21.18,21.18,20.74,20.91,19800,20.753218,11/8/2018,SLP,-0.013679264,-0.013679292,-0.595173072,D
899,20.83,21.059999,20.559999,20.709999,31600,20.554716,11/9/2018,SLP,-0.009564878,-0.009564849,-0.480784981,E
900,20.66,20.83,20.34,20.67,20200,20.515017,11/12/2018,SLP,-0.001931382,-0.001931386,-0.472984112,E
901,20.700001,20.73,20.16,20.24,22700,20.08824,11/13/2018,SLP,-0.020803151,-0.020803096,-1.522155347,D
902,20.24,20.389999,20.16,20.16,46400,20.008841,11/14/2018,SLP,-0.003952512,-0.003952569,-1.419517545,D
903,20.16,20.940001,20.16,20.299999,59500,20.147789,11/15/2018,SLP,0.00694433,0.006944395,-0.928725425,D
904,20.27,20.360001,20.16,20.219999,123600,20.06839,11/16/2018,SLP,-0.003940829,-0.003940887,-1.551723028,D
905,20.16,20.48,20.16,20.190001,139100,20.038616,11/19/2018,SLP,-0.001483627,-0.001483581,-1.275815392,D
906,20.16,20.27,18.4,18.719999,293700,18.579638,11/20/2018,SLP,-0.072808322,-0.072808416,1.330424833,U
907,18.719999,19.139999,18.299999,18.76,51400,18.619339,11/21/2018,SLP,0.002136802,0.002136806,0.593954993,U
908,18.6,19.629999,18.43,19.389999,19000,19.244616,11/23/2018,SLP,0.033582127,0.033582036,0.443984617,E
909,19.48,19.76,18.040001,18.719999,54600,18.579638,11/26/2018,SLP,-0.034553976,-0.034553896,1.019391414,U
910,18.700001,19.15,18.549999,18.969999,56600,18.827765,11/27/2018,SLP,0.013354781,0.013354702,-0.113129693,E
911,18.950001,20.01,18.870001,19.99,95700,19.840117,11/28/2018,SLP,0.053769101,0.053769165,-0.573673404,D
912,19.93,19.959999,19.17,19.33,31400,19.185064,11/29/2018,SLP,-0.03301659,-0.033016508,0.030899609,E
913,19.43,19.98,19.280001,19.82,72200,19.671391,11/30/2018,SLP,0.025349251,0.025349198,-0.123204065,E
914,20.07,20.07,19.23,19.709999,42400,19.562214,12/3/2018,SLP,-0.00555004,-0.00555,0.102679012,E
915,19.65,19.950001,18.57,18.860001,34700,18.71859,12/4/2018,SLP,-0.04312518,-0.043125218,0.658321968,U
916,18.98,19.57,18.719999,19.43,44000,19.284315,12/6/2018,SLP,0.030222629,0.030222639,-0.534657448,D
917,19.360001,19.52,19.129999,19.360001,58400,19.21484,12/7/2018,SLP,-0.003602669,-0.003602625,-0.350816124,E
918,19.059999,19.98,19.049999,19.700001,51000,19.55229,12/10/2018,SLP,0.017561947,0.017561983,-1.342004027,D
919,19.870001,20,19.610001,19.809999,21800,19.661465,12/11/2018,SLP,0.005583745,0.005583655,-1.069553877,D
920,19.860001,20.110001,19.4,19.5,27600,19.35379,12/12/2018,SLP,-0.01564863,-0.015648613,-1.060728681,D
921,19.5,19.879999,18.42,18.91,32500,18.768215,12/13/2018,SLP,-0.030256348,-0.03025641,-1.456965793,D
922,18.82,19.84,18.76,19.02,45300,18.87739,12/14/2018,SLP,0.005817016,0.005817028,-1.583979286,D
923,19.030001,19.120001,18.110001,18.41,66000,18.271961,12/17/2018,SLP,-0.032071648,-0.032071504,-0.851846689,D
924,18.59,19,18.49,18.790001,32200,18.649115,12/18/2018,SLP,0.020641134,0.02064101,-0.265170631,E
925,18.790001,18.99,18.129999,18.5,38800,18.361286,12/19/2018,SLP,-0.015433923,-0.015433794,0.221161389,E
926,18.34,18.4,17.18,17.559999,76800,17.428337,12/20/2018,SLP,-0.050810657,-0.050810865,1.36739506,U
927,17.559999,17.959999,17.209999,17.57,98000,17.438261,12/21/2018,SLP,0.000569417,0.000569533,2.515292401,U
928,17.51,17.93,17.43,17.639999,22300,17.507736,12/24/2018,SLP,0.003984056,0.003984007,2.389637172,U
929,17.620001,18.58,17.59,18.549999,37600,18.410913,12/26/2018,SLP,0.05158731,0.051587305,0.38686093,E
930,18.27,18.700001,17.799999,18.700001,60400,18.55979,12/27/2018,SLP,0.008086345,0.008086362,0.674915275,U
931,19.040001,19.309999,18.68,18.799999,97100,18.659039,12/28/2018,SLP,0.005347528,0.005347486,0.916266474,U
932,18.51,20.09,18.51,19.9,178700,19.75079,12/31/2018,SLP,0.05851057,0.058510695,0.548223242,U
933,19.9,20.700001,19.74,19.9,104500,19.75079,1/2/2019,SLP,0,0,0.485337729,E
934,19.68,19.860001,18.879999,18.92,41900,18.778139,1/3/2019,SLP,-0.049246182,-0.049246231,0.061140152,E
935,19.18,19.799999,18.98,19.35,70000,19.204916,1/4/2019,SLP,0.022727332,0.022727273,0.716566065,U
936,19.35,19.77,19.01,19.690001,59900,19.542366,1/7/2019,SLP,0.017571022,0.017571111,-0.3431448,E
937,19.91,20.57,19.799999,20.440001,75700,20.286741,1/8/2019,SLP,0.038090321,0.038090399,-0.523798503,D
938,20.5,20.6,20.01,20.379999,74100,20.22719,1/9/2019,SLP,-0.002935464,-0.002935518,-0.94463797,D
939,20.07,20.48,18.41,18.98,167500,18.837688,1/10/2019,SLP,-0.068694762,-0.068694753,0.266667151,E
940,19.1,21,19.1,20.059999,134500,19.90959,1/11/2019,SLP,0.056901993,0.056901949,-0.469308004,E
941,20.1,20.16,19.02,19.35,100300,19.204916,1/14/2019,SLP,-0.035393697,-0.03539377,-0.525775229,D
942,19.360001,20.43,19.360001,19.92,54700,19.770639,1/15/2019,SLP,0.029457197,0.029457364,-0.97216143,D
943,20,20.040001,19.16,19.450001,48800,19.304167,1/16/2019,SLP,-0.023594179,-0.023594327,-0.154910091,E
944,19.450001,19.690001,18.940001,19.24,58600,19.095739,1/17/2019,SLP,-0.010797047,-0.010796966,0.323920326,E
945,19.27,19.99,19.27,19.6,73500,19.453039,1/18/2019,SLP,0.01871098,0.018711019,-0.687555059,D
946,19.620001,19.620001,18.620001,18.84,58600,18.698738,1/22/2019,SLP,-0.038775484,-0.03877551,0.073116689,E
947,19.02,19.35,18.700001,18.98,27000,18.837688,1/23/2019,SLP,0.007430983,0.007430998,0.031489395,E
948,18.940001,19.25,18.540001,19.24,51300,19.156298,1/24/2019,SLP,0.016913434,0.01369863,0.020928583,E
949,19.370001,19.889999,19.35,19.49,51800,19.405209,1/25/2019,SLP,0.01299369,0.012993763,-0.125434548,E
950,19.360001,19.5,18.68,18.879999,37100,18.797863,1/28/2019,SLP,-0.031298091,-0.031298153,0.772645615,U
951,18.77,19.040001,18.209999,18.85,72800,18.767994,1/29/2019,SLP,-0.001588957,-0.00158893,0.509576966,U
