"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"582",170.179993,174.740005,169.520004,173.619995,4762600,170.097595,2019-01-04,"HD",0.0297135273459699,0.0297135043608712
"583",173.830002,178.179993,173.830002,177.039993,4928800,173.448212,2019-01-07,"HD",0.0196982032579591,0.0196981805004661
"584",178.570007,179.589996,175.610001,177.889999,4722400,174.28096,2019-01-08,"HD",0.00480113337807131,0.00480120895621572
"585",177.869995,181.270004,177.100006,179.729996,4922000,176.083633,2019-01-09,"HD",0.0103434878944895,0.0103434538779215
"586",178.029999,179.240005,176.339996,179.059998,3605300,175.427231,2019-01-10,"HD",-0.00372778542114693,-0.00372780289829855
"587",177.929993,180.259995,177.119995,179.410004,3285100,175.770126,2019-01-11,"HD",0.00195462812726044,0.00195468560208512
"588",177.589996,179.229996,176.899994,178.809998,3871400,175.182312,2019-01-14,"HD",-0.00334422016628699,-0.00334432855817768
"589",176.080002,177.820007,175.199997,176.470001,5016100,172.889771,2019-01-15,"HD",-0.0130866008892496,-0.0130864997828589
"590",177.089996,177.929993,175.860001,177.039993,4075400,173.448212,2019-01-16,"HD",0.00323004071767796,0.00322996541491505
"591",174.009995,175.460007,172,174.869995,6499200,171.32222,2019-01-17,"HD",-0.0122572148509668,-0.012257106223451
"592",176.979996,180.039993,176.179993,179.580002,6371100,175.936691,2019-01-18,"HD",0.0269344571883321,0.0269343348468674
"593",177.490005,178.600006,175.360001,177.110001,6272700,173.516785,2019-01-22,"HD",-0.0137544135123014,-0.0137543210407136
"594",176.589996,178.059998,174.529999,176.889999,4910400,173.301254,2019-01-23,"HD",-0.00124213343394997,-0.00124217717101149
"595",177,177.529999,175.300003,177.289993,3860100,173.69313,2019-01-24,"HD",0.00226124157185836,0.00226125842196434
"596",179.779999,180.869995,178.610001,180.399994,4501800,176.740036,2019-01-25,"HD",0.0175418912653598,0.0175418868678052
"597",178.970001,179.990005,177.410004,179.830002,4091400,176.18161,2019-01-28,"HD",-0.00315958971514518,-0.00315960099200441
"598",178.960007,180.149994,178.089996,179.690002,3686900,176.044449,2019-01-29,"HD",-0.000778520527766835,-0.000778513031435168
"599",180.470001,184.199997,179.779999,182.179993,5197700,178.483917,2019-01-30,"HD",0.0138571140064747,0.013857148268049
"600",181.5,184.669998,181.059998,183.529999,5138000,179.806534,2019-01-31,"HD",0.00741028672067978,0.00741028681453515
"601",184.029999,185.149994,182.830002,184.369995,4513100,180.629486,2019-02-01,"HD",0.00457687483147873,0.0045768866374809
"602",184.300003,186.429993,183.839996,186.429993,3050200,182.647705,2019-02-04,"HD",0.0111732532970834,0.0111731738127996
"603",186.889999,186.990005,184.690002,186.389999,4135200,182.608521,2019-02-05,"HD",-0.000214533218471091,-0.000214525567246104
"604",186.690002,186.690002,184.059998,184.720001,3072500,180.972397,2019-02-06,"HD",-0.00895973523601346,-0.00895969745672887
"605",183.740005,184.919998,182.449997,184.070007,2793400,180.335587,2019-02-07,"HD",-0.00351882392318648,-0.00351880682373962
"606",183.050003,184.580002,182.720001,184.539993,2792300,180.796036,2019-02-08,"HD",0.00255328971757507,0.00255330027775802
"607",185,185.419998,182.75,182.919998,3729200,179.208908,2019-02-11,"HD",-0.00877855529974103,-0.00877855782729986
"608",183.839996,186.399994,183.520004,185.520004,3773200,181.756165,2019-02-12,"HD",0.01421389722435,0.0142138969408911
"609",186.300003,188.679993,185.919998,188.410004,4146900,184.58754,2019-02-13,"HD",0.0155778759966683,0.015577834937951
"610",187.5,188.929993,186,187.710007,2600600,183.901749,2019-02-14,"HD",-0.00371526160433144,-0.00371528573397828
"611",189.869995,192.619995,189.050003,192.389999,4997900,188.486786,2019-02-15,"HD",0.0249319923542435,0.0249320325261082
"612",191.710007,193.190002,191.279999,192.330002,3828400,188.428024,2019-02-19,"HD",-0.000311756602396573,-0.000311850929423763
"613",192.389999,192.399994,191.110001,191.850006,3970100,187.957748,2019-02-20,"HD",-0.00249578587100174,-0.00249568967404268
"614",191.850006,192.369995,190.610001,191.820007,3094200,187.928375,2019-02-21,"HD",-0.000156274483561147,-0.000156366948458664
"615",191.690002,192.539993,191.619995,192.389999,3321600,188.486786,2019-02-22,"HD",0.00297140333384993,0.00297149400062313
"616",192.75,193.419998,189.960007,189.979996,6190700,186.125671,2019-02-25,"HD",-0.0125266871493049,-0.0125266542571165
"617",185.589996,188.470001,182.800003,188.300003,13635100,184.479782,2019-02-26,"HD",-0.00884289088741563,-0.00884299944926836
"618",187.899994,188.5,183.210007,183.669998,8766200,179.94371,2019-02-27,"HD",-0.0245884505652765,-0.0245884488913153
"619",183.600006,185.190002,183.110001,185.139999,8060600,181.383865,2019-02-28,"HD",0.00800336394086787,0.00800349004196099
"620",185.820007,186.559998,182.860001,185.169998,5481300,181.413269,2019-03-01,"HD",0.000162109237224817,0.000162034137204392
"621",186.199997,186.240005,182.100006,183.809998,5046800,180.080856,2019-03-04,"HD",-0.00734462813742698,-0.00734460233671319
"622",184.240005,185.119995,183.25,184,3691000,180.267014,2019-03-05,"HD",0.00103374675207002,0.00103368697060757
"623",184.529999,184.970001,183.839996,184.449997,4460900,180.70787,2019-03-06,"HD",0.00244557221100927,0.00244563586956525
"624",184.389999,184.619995,181.580002,182.509995,4122200,178.80722,2019-03-07,"HD",-0.0105178042328761,-0.0105177665034063
